tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361311272528702, 37.790618466807075, 35.84807026066423]","[0, 0, 0]",-1.97142857,1.0,0.26361311272528704,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.77084719799114, 38.74411162666062, 42.48504117534823]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991142,1,-1
179,1,0,0,1,-1,"[0, 0, 0]","[23.233243422269283, 31.848107114925973, 44.91864946280476]","[0, 0, 0]",-0.25714286,1.0,0.2323324342226928,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.89474260554943, 32.186805111419865, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.3289474260554943,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.06672628298821, 28.219565167274908, 40.71370854973688]","[0, 0, 0]",-2.05714286,1.0,0.3106672628298821,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.11907719851732, 33.943721452203754, 27.937201349278922]","[0, 0, 0]",-2.14285714,1.0,0.38119077198517315,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.050168189274233, 19.161888416778893, 68.78794339394688]","[0, 0, 0]",-2.05714286,1.0,0.12050168189274232,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703209, 30.334125970966813, 27.731234542001086]","[0, 0, 0]",-1.11428571,1.0,0.41934639487032094,1,-1
177,1,0,0,1,-1,"[0, 0, 0]","[25.16208905054923, 33.81259941196631, 41.02531153748446]","[0, 0, 0]",-0.34285714,1.0,0.2516208905054923,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.965760325044705, 27.997084540577376, 32.037155134377905]","[0, 0, 0]",-2.14285714,1.0,0.3996576032504471,1,-1
95,1,0,0,1,-1,"[0, 0, 0]","[24.280328878415634, 28.36021148013282, 47.359459641451544]","[0, 0, 0]",-2.22857143,1.0,0.24280328878415636,1,-1
