tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361311272528702, 37.790618466807075, 35.84807026066422]","[0, 0, 0]",-1.97142857,1.0,0.26361311272528704,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.77084719799114, 38.74411162666062, 42.48504117534823]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991142,1,-1
179,1,0,0,1,-1,"[0, 0, 0]","[23.23324342226928, 31.848107114925966, 44.91864946280475]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.89474260554943, 32.18680511141987, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.3289474260554943,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.066726282988196, 28.219565167274908, 40.713708549736886]","[0, 0, 0]",-2.05714286,1.0,0.31066726282988194,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.119077198517594, 33.94372145220385, 27.937201349278556]","[0, 0, 0]",-2.14285714,1.0,0.3811907719851759,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.0501681892739, 19.161888416779856, 68.78794339394624]","[0, 0, 0]",-2.05714286,1.0,0.12050168189273901,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703211, 30.33412597096682, 27.731234542001072]","[0, 0, 0]",-1.11428571,1.0,0.4193463948703211,1,-1
177,1,0,0,1,-1,"[0, 0, 0]","[25.162089050549223, 33.81259941196632, 41.025311537484455]","[0, 0, 0]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.965760325044116, 27.99708454057822, 32.03715513437766]","[0, 0, 0]",-2.14285714,1.0,0.39965760325044114,1,-1
