ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
98,3,83,100,9,2,"0,100,0","26.36131127252861,37.79061846680709,35.8480702606643","13.180655636264305,68.89530923340355,17.924035130332147",-1.97142857,1,0.2636131127252861,1,10
178,1,0,0,1,-1,"0,0,0","18.770847197991138,38.744111626660626,42.485041175348236","0,0,0",-0.25714286,1,0.1877084719799114,1,-1
179,1,0,0,1,-1,"0,0,0","23.23324342226928,31.848107114925966,44.91864946280475","0,0,0",-0.25714286,1,0.23233243422269279,1,-1
180,1,0,0,1,-1,"0,0,0","32.89474260554943,32.186805111419865,34.918452283030696","0,0,0",-0.25714286,1,0.3289474260554943,1,-1
32,4,17.5,100,6,2,"100,0,0","31.066726282988487,28.21956516727485,40.71370854973666","65.5333631414941,14.10978258363745,20.35685427486844",-2.05714286,1,0.3106672628298849,1,-1
96,4,21.428571428571427,100,8,2,"100,0,0","38.11907719851179,33.94372145220189,27.937201349286322","69.05953859925869,16.97186072610189,13.968600674639426",-2.14285714,1,0.3811907719851179,1,-1
97,3,33,0,1,2,"100,0,0","12.050168189280921,19.161888416759496,68.78794339395958","56.02508409464046,9.58094420837975,34.39397169697979",-2.05714286,1,0.12050168189280921,1,3
169,1,0,100,1,2,"0,0,0","41.93463948703203,30.33412597096701,27.73123454200096","0,0,0",-1.11428571,1,0.41934639487032027,1,-1
177,1,0,0,1,-1,"0,0,0","25.162089050549223,33.81259941196632,41.025311537484455","0,0,0",-0.34285714,1,0.25162089050549225,1,-1
31,4,20.833333333333332,100,10,2,"100,0,0","39.96576032505656,27.997084540560625,32.03715513438282","69.98288016252229,13.998542270288777,16.01857756718893",-2.14285714,1,0.3996576032505656,1,-1
95,4,57.15972222222222,100,46,2,"100,0,0","24.280328879195945,28.360211480469527,47.35945964033453","62.140164439597974,14.180105740234763,23.679729820167267",-2.22857143,1,0.24280328879195945,1,-1
101,4,68.56770833333333,100,16,2,"0,100,0","26.176649736382167,35.20556533455198,38.61778492906585","13.088324868191084,67.60278266727599,19.308892464532924",-2.31428571,1,0.2617664973638217,1,-1
168,1,0,100,1,2,"0,0,0","32.310449216562766,30.03774996612101,37.651800817316236","0,0,0",-1.2,1,0.32310449216562764,1,-1
175,1,0,0,1,-1,"0,0,0","27.130012831130575,30.740586322255197,42.12940084661423","0,0,0",-0.42857143,1,0.27130012831130573,1,-1
176,1,0,0,1,-1,"0,0,0","26.894621176229855,28.03773115133481,45.06764767243532","0,0,0",-0.42857143,1,0.26894621176229855,1,-1
187,1,0,0,1,-1,"0,0,0","49.775612270215476,24.994539128848075,25.229848600936442","0,0,0",0.42857143,1,0.49775612270215475,1,-1
190,1,0,0,1,-1,"0,0,0","31.028480654109615,33.94130138376595,35.030217962124425","0,0,0",1.2,1,0.31028480654109614,1,-1
195,1,0,0,1,-1,"0,0,0","39.66258294075975,30.34440333401992,29.99301372522033","0,0,0",1.8,1,0.3966258294075975,1,-1
209,1,0,0,1,-1,"0,0,0","35.35539693093703,39.98033834420075,24.66426472486221","0,0,0",3,1,0.35355396930937033,1,-1
30,4,72.25446428571429,50,71,2,"0,100,0","36.4151019250546,31.499270905739685,32.08562716920571","18.2075509625273,65.74963545286984,16.042813584602854",-2.4,1,0.364151019250546,1,-1
44,1,0,0,1,-1,"0,0,0","18.77650215709849,31.044510817849464,50.178987025052045","0,0,0",1.71428571,1,0.1877650215709849,1,-1
46,1,0,0,1,-1,"0,0,0","18.653146322412834,34.58994584546892,46.75690783211826","0,0,0",1.71428571,1,0.18653146322412834,1,-1
47,1,0,0,1,-1,"0,0,0","19.733976877317616,39.335082108257126,40.93094101442526","0,0,0",1.71428571,1,0.19733976877317616,1,-1
48,1,0,0,1,-1,"0,0,0","20.90746217917956,44.07684017141802,35.01569764940242","0,0,0",1.71428571,1,0.20907462179179562,1,-1
49,1,0,0,1,-1,"0,0,0","29.810196667616406,39.37650510644099,30.813298225942603","0,0,0",1.71428571,1,0.29810196667616407,1,-1
50,1,0,0,1,-1,"0,0,0","24.069094791975715,25.88066579016234,50.05023941786194","0,0,0",1.71428571,1,0.24069094791975715,1,-1
77,1,0,0,1,-1,"0,0,0","36.23837518427497,28.881811896689662,34.879812919035366","0,0,0",0.34285714,1,0.36238375184274974,1,-1
164,1,0,100,1,2,"0,0,0","15.094244108845018,30.083500651571732,54.82225523958325","0,0,0",-1.37142857,1,0.15094244108845017,1,-1
